NAME,,,,,,,,,,,,,,,,,,,,,,,,,,AUSTRALIAN,OURS
Acer Veriton 5100,ACER,VERITON,5100,,,,,,,,,,,,,,,,,,,,,,,SFF,"small form factor,small form,sff"
Apple eMac,EMAC,,,,,,,,,,,,,,,,,,,,,,,,,micro,micro
Apple iMac 20in 2.0Ghz 1GB/250GB/SD,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,usff,"ultra small,usff"
Apple iMac 21 2.9GHz 8GB/1TB/ATA,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mff,"medium form factor,medium form,mff"
Apple iMac 21.5in 2.8GHz QC/8GB/1TB,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Comdek/EDSys/Apple Generic,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mini tower,"mini,mini tower"
Cybernet iOne GX31,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Dell Dimension Series,DIMENSION,,,,,,,,,,,,,,,,,,,,,,,,,btx,"btx,balanced tech,balanced technology extended"
Dell OptiPlex 170L SFF,OPTIPLEX,170L,SFF,,,,,,,,,,,,,,,,,,,,,,,USDT,"ultra small,usdt,ultra-slim,ultra slim"
Dell OptiPlex 210L SFF,OPTIPLEX,210L,SFF,,,,,,,,,,,,,,,,,,,,,,,HDD,"HDD,HARD DISK DRIVE"
Dell OptiPlex 3010,OPTIPLEX,3010,,,,,,,,,,,,,,,,,,,,,,,,SSD,"SSD,SOLID STATE"
Dell OptiPlex 3010 SFF,OPTIPLEX,3010,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 3020 SFF,OPTIPLEX,3020,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 3040 SFF,OPTIPLEX,3040,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 380 SFF,OPTIPLEX,380,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 390 SFF,OPTIPLEX,390,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 7010 Desktop,OPTIPLEX,7010,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 7010 SFF,OPTIPLEX,7010,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 7040 MFF,OPTIPLEX,7040,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 7040 SFF,OPTIPLEX,7040,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 7050 Micro,OPTIPLEX,7050,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 745,OPTIPLEX,745,,,,,,,,,,,,,,,,,,,,,,,,,
