Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
US07872,1J6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.151.58,Microsoft Windows 8.1 Pro,,,2016-02-08 23:59:59,Expired,,,,,,
US08149,1MS6T22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.130.122,Microsoft Windows 8.1 Pro,,,,No Warranty,,,,,,
US07873,1T6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.135.126,Microsoft Windows 8.1 Pro,,,2016-02-08 23:59:59,Expired,,,,,,
US07988,2NJ6T22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.36.160,Microsoft Windows 8.1 Pro,,,2016-06-26 23:59:59,Expired,,,,,,
US08128,2TJ8T22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.133.141,Microsoft Windows 8.1 Pro,,,2016-07-22 23:59:59,Expired,,,,,,
US01657,30T6T22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.151.110,Microsoft Windows 8.1 Pro,,,,No Warranty,,,,,,
US08110,3HS6T22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.224.123,Microsoft Windows 8.1 Pro,,,,No Warranty,,,,,,
US07991,3JS6T22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.145.46,Microsoft Windows 8.1 Pro,,,,No Warranty,,,,,,
US08022,3K6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.50.135,Microsoft Windows 8.1 Pro,,,2016-02-08 23:59:59,Expired,,,,,,
US07934,3KS6T22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.224.115,Microsoft Windows 8.1 Pro,,,,No Warranty,,,,,,
US08206,3MWJT22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.224.179,Microsoft Windows 8.1 Pro,,,2016-09-16 23:59:59,Expired,,,,,,
US08485,3NNPQ62,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.128.19,Microsoft Windows 8.1 Pro,,,2017-04-01 23:59:59,Expired,,,,,,
US02806,4DPPQ62,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.133.107,Microsoft Windows 8.1 Pro,,,2017-04-01 23:59:59,Expired,,,,,,
US07879,4J6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.143.244,Microsoft Windows 8.1 Pro,,,2016-02-08 23:59:59,Expired,,,,,,
US07952,5H6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.132.107,Microsoft Windows 8.1 Pro,,,2016-02-08 23:59:59,Expired,,,,,,
US07898,5J6CV22,Dell Inc.,Venue 11 Pro 5130,Unassigned,,10.148.0.161,Microsoft Windows 8.1 Pro,,,2016-02-08 23:59:59,Expired,,,,,,
