Company Name Billing,Company Name Shipping,Customer Num,PO Num,Dell Order Number,Master Inv Num,Invoice Num,Group Desc,Product Desc,Brand Desc,Item Num,Item Long Name,System Qty,Order Qty,Total Rev Retail USD,Total Rev Disc USD,Freight Charges,Sales Tax USD,Vat Amt Local Currency,Order Status Desc,Order Date,Ship By Date,Shipped Date,Inv Date,Service Tags
CPLSE,CPLSE,132936491,SEC170850,101758446,XK12X99C5,,Desktops,OptiPlex Desktops,OPTIPLEX 3040,210-AFXK,OptiPlex 3040 Small Form Factor XCTO,2,2,"$1,981.43",$938.00,$0.00,$0.00,0.00,Invoiced,7/8/2016,7/14/2016,7/16/2016,7/17/2016,"875LKB2,875MKB2"
CPLSE,CPLSE,132936491,SEC170850,101758578,XK11C1DK9,,CS Software and Peripherals,Displays,DELL MONITOR E2016H,210-AGLW,Dell 20 Monitor - E2016H,2,2,$259.98,$219.98,$0.00,$0.00,0.00,Invoiced,7/8/2016,7/11/2016,7/9/2016,7/10/2016,"3HTDX72,8HTDX72"
CPLSE,CPLSE,132936491,SEC177275,123566421,XK1KC9473,,Desktops,OptiPlex Desktops,OPTIPLEX 3040,210-AFXK,OptiPlex 3040 Small Form Factor XCTO,1,1,$947.86,$469.00,$0.00,$0.00,0.00,Invoiced,9/6/2016,9/12/2016,9/8/2016,9/8/2016,8W66RD2
CPLSE,CPLSE,132936491,SEC177275,123566504,XK1JWK588,,CS Software and Peripherals,Displays,DELL MONITOR E2016H,210-AGLW,Dell 20 Monitor - E2016H,1,1,$129.99,$109.99,$0.00,$0.00,0.00,Invoiced,9/6/2016,9/7/2016,9/6/2016,9/6/2016,8RQQ2D2
CPLSE,CPLSE,132936491,SEC177274,123570001,XK1K7WC31,,Desktops,OptiPlex Desktops,OPTIPLEX 3040,210-AFXK,OptiPlex 3040 Small Form Factor XCTO,1,1,$947.86,$469.00,$0.00,$0.00,0.00,Invoiced,9/6/2016,9/12/2016,9/8/2016,9/8/2016,7X85RD2
CPLSE,CPLSE,132936491,SEC177274,123570142,XK1JWK3W5,,CS Software and Peripherals,Displays,DELL MONITOR E2016H,210-AGLW,Dell 20 Monitor - E2016H,1,1,$129.99,$109.99,$0.00,$0.00,0.00,Invoiced,9/6/2016,9/7/2016,9/6/2016,9/6/2016,9RQQ2D2
CPLSE,CPLSE,132936491,SEC177273,123574656,XK1KC92J7,,Desktops,OptiPlex Desktops,OPTIPLEX 3040,210-AFXK,OptiPlex 3040 Small Form Factor XCTO,1,1,$947.86,$469.00,$0.00,$0.00,0.00,Invoiced,9/6/2016,9/12/2016,9/8/2016,9/8/2016,8W65RD2
CPLSE,CPLSE,132936491,SEC177273,123574722,XK1JWKW41,,CS Software and Peripherals,Displays,DELL MONITOR E2016H,210-AGLW,Dell 20 Monitor - E2016H,1,1,$129.99,$109.99,$0.00,$0.00,0.00,Invoiced,9/6/2016,9/7/2016,9/6/2016,9/6/2016,8CQ23D2
CPLSE,CPLSE,132936491,SEC177272,123577576,XK1K7W2C3,,Desktops,OptiPlex Desktops,OPTIPLEX 3040,210-AFXK,OptiPlex 3040 Small Form Factor XCTO,1,1,$947.86,$469.00,$0.00,$0.00,0.00,Invoiced,9/6/2016,9/12/2016,9/8/2016,9/8/2016,7X7CRD2
CPLSE,CPLSE,132936491,SEC177272,123577683,XK1JWKW33,,CS Software and Peripherals,Displays,DELL MONITOR E2016H,210-AGLW,Dell 20 Monitor - E2016H,1,1,$129.99,$109.99,$0.00,$0.00,0.00,Invoiced,9/6/2016,9/7/2016,9/6/2016,9/6/2016,G3513D2
CPLSE,CPLSE,132936491,SEC178918,125083094,XK1M8X9C7,,Desktops,OptiPlex Desktops,OPTIPLEX 3040,210-AFXK,OptiPlex 3040 Small Form Factor XCTO,2,2,"$1,895.71",$938.00,$0.00,$0.00,0.00,Invoiced,9/10/2016,9/16/2016,9/13/2016,9/13/2016,"46XJRD2,46XKRD2"
CPLSE,CPLSE,132936491,SEC178918,125083102,XK1KRD6D5,,CS Software and Peripherals,Displays,DELL MONITOR E2016H,210-AGLW,Dell 20 Monitor - E2016H,2,2,$259.98,$219.98,$0.00,$0.00,0.00,Invoiced,9/10/2016,9/12/2016,9/10/2016,9/11/2016,"1G0Z2D2,DF0Z2D2"
