Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status,has the service tag,output,orig.order,,,Serial Number,,,Company Name Billing,Company Name Shipping,Customer Num,PO Num,Dell Order Number,Master Inv Num,Invoice Num,Group Desc,Product Desc,Brand Desc,Item Num,Item Long Name,System Qty,Order Qty,Total Rev Retail USD,Total Rev Disc USD,Freight Charges,Sales Tax USD,Vat Amt Local Currency,Order Status Desc,Order Date,Ship By Date,Shipped Date,Inv Date,Service Tags,,Serial Numberfootprints
US09359,CGBGKB2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.20.129,Microsoft Windows 7 Professional x64,CPL,,7/8/2019 23:59,Active,,,,,,9,311,"CG4BKB2,CGBGKB2",786,9,#NAME?,CGBGKB2,cgbgkb2,CGBGKB2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL102631,776258002,XJMXJ6FT3,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,2,2,"$2,502.80 ","$1,420.04 ",$0.00 ,$0.00 ,0,Invoiced,2/13/2015,2/16/2015,2/13/2015,2/13/2015,"C4NC842,C4QB842",,CGBGKB2
US09360,CG4BKB2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.20.254,Microsoft Windows 7 Professional x64,CPL,,7/8/2019 23:59,Active,,,,,,1,311,"CG4BKB2,CGBGKB2",813,1,,CG4BKB2,cg4bkb2,CG4BKB2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL106412,790889188,XJN8KDPW9,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,1,1,"$1,251.40 ",$710.02 ,$0.00 ,$0.00 ,0,Invoiced,3/12/2015,3/13/2015,3/13/2015,3/13/2015,BV04B42,,CG4BKB2
US14553,CGBCKB2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.131.205,Microsoft Windows 7 Professional x64,CPL,,7/8/2019 23:59,Active,,,,,,17,312,"CG4FKB2,CG9HKB2,CGBCKB2,CGBDKB2",199,17,,CGBCKB2,cgbckb2,CGBCKB2,CPLSE,CPLSE,132936491,SEC146013,942466026,XJW7186J4,,CS SOFTWARE AND PERIPHERALS,DISPLAYS,DELL-BRANDED,858-BBCW,Dell 20 Monitor E2016H,0,1,$139.99 ,$109.19 ,$0.00 ,$0.00 ,0,Invoiced,1/12/2016,1/13/2016,1/12/2016,1/12/2016,,,CGBCKB2
US14547,CGBDKB2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.29.6,Microsoft Windows 7 Professional x64,CPL,,7/8/2019 23:59,Active,,,,,,25,312,"CG4FKB2,CG9HKB2,CGBCKB2,CGBDKB2",1019,25,,CGBDKB2,cgbdkb2,CGBDKB2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL119328,867904894,XJR7C2D34,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$10.00 ,$0.00 ,$0.00 ,0,Invoiced,8/5/2015,8/11/2015,8/5/2015,8/5/2015,,,CGBDKB2
US14551,94SPKB2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.29.107,Microsoft Windows 7 Professional x64,CPL,,7/13/2019 23:59,Active,,,,,,9,313,"94SNKB2,94SPKB2",896,9,,94SPKB2,94spkb2,94SPKB2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL88901,819749322,XJP3KX7P3,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$11.00 ,$0.00 ,$0.00 ,0,Invoiced,5/6/2015,5/12/2015,5/7/2015,5/7/2015,,,94SPKB2
US14552,94SNKB2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.29.4,Microsoft Windows 7 Professional x64,CPL,,7/13/2019 23:59,Active,,,,,,1,313,"94SNKB2,94SPKB2",999,1,,94SNKB2,94snkb2,94SNKB2,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABS,137995733,CPL124250,863261851,XJR541NK1,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,1,1,"$1,251.29 ",$671.40 ,$0.00 ,$0.00 ,0,Invoiced,7/28/2015,7/29/2015,7/28/2015,7/28/2015,3X5HV42,,94SNKB2
US20113,FY70LB2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.135.152,Microsoft Windows 7 Professional x64,CPL,,7/25/2019 23:59,Active,,,,,,9,316,"FY6YKB2,FY70LB2,FY71LB2,FY7VKB2",244,9,,FY70LB2,fy70lb2,FY70LB2,CPLSE,SONIC HEALTHCARE USA,132936491,SEC154915,978176143,XJX7XMCR6,,CS Software and Peripherals,TVs,UNKNOWN,451-BBKB,Primary 4-cell 54W/HR Battery,0,-6,($152.88),($152.88),$0.00 ,$0.00 ,0,Invoiced,4/27/2016,4/27/2016,4/27/2016,4/27/2016,,,FY70LB2
US14844,14DSPD2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.0.139,Microsoft Windows 7 Professional,CPL,,7/21/2019 23:59,Active,,,,,,17,317,"14DQPD2,14DRPD2,14DSPD2",92,17,,14DSPD2,14dspd2,14DSPD2,CPLSE,CPLSE,132936491,SEC115272,826266500,XJP7DJF58,,SUPPORT AND DEPLOYMENT,SUPPORT SERVICES,HARDWARE AND SOFTWARE SUPPORT ,983-2847,"3YR  Limited Warranty         Monitor, Advanced Exchange",0,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,Invoiced,5/19/2015,5/22/2015,5/21/2015,5/21/2015,,,14DSPD2
US14559,14DQPD2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.130.150,Microsoft Windows 7 Professional x64,CPL,,7/21/2019 23:59,Active,,,,,,1,317,"14DQPD2,14DRPD2,14DSPD2",177,1,,14DQPD2,14dqpd2,14DQPD2,CPLSE,CPLSE,132936491,SEC141149,928440508,XJTT5MCD1,,Desktops,OptiPlex Desktops,OPTIPLEX 3020,210-ABDX,OptiPlex 3020 Small Form Factor BTX Base,1,1,$812.77 ,$444.12 ,$0.00 ,$0.00 ,0,Invoiced,12/4/2015,12/7/2015,12/4/2015,12/4/2015,HR5XM52,,14DQPD2
US20120,5HMMPD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.144.211,Microsoft Windows 7 Professional x64,CPL,,7/22/2019 23:59,Active,,,,,,33,318,"5HLQPD2,5HLRPD2,5HLSPD2,5HMLPD2,5HMMPD2",341,33,,5HMMPD2,5hmmpd2,5HMMPD2,CLINICAL PATHOLOGY LABORATORIE,CPL,137995733,CPL180614,128596795,XK1P9DPR4,XK1P9DPR4,Desktops,OptiPlex Desktops,OPTIPLEX 3040,210-AFXK,OptiPlex 3040 Small Form Factor XCTO,2,2,"$1,895.71 ",$938.00 ,$0.00 ,$0.00 ,0,Invoiced,9/21/2016,9/27/2016,9/23/2016,9/23/2016,"BZNRRD2,BZPPRD2",,5HMMPD2
